,RESEARCH_ASSET_ID,ASSET_TITLE,ASSET_SUBTITLE,ASSET_DOI,ASSET_PMID,ASSET_ISBN,ASSET_EISBN,ASSET_PMCID,ASSET_GOVTNUM,ASSET_PUBLISHER,ASSET_PUBLICATIONPLACE,ASSET_PUBLISHDATE,ASSET_AVAILDATE,ASSET_ACCEPTDATE,ASSET_COPYRIGHTDATE,ASSET_CREATEDATE,ASSET_OPENINGDATE,ASSET_PERFORMANCEDATE,ASSET_RESTYPE,ASSET_RESSUBTYPE,ASSET_KEYWORDS,ASSET_PEEREVIEW,ASSET_LANG,ASSET_ABSTRACT,ASSET_COPYRIGHT,ASSET_LICENSECODE,ASSET_ACCESSRIGHT,ASSET_ACCESSRIGHTDATE,ASSET_AFFILIATION,ASSET_GRANTNOTE,ASSET_ORIGASSET_ID,ASSET_SUBMITDATE,ASSET_ORIG_REPOSITORYNAME,ASSET_PAGES,ASSET_SIZE,ASSET_EXTENT,ASSET_FORMAT,ASSET_EDITION,ASSET_SUBJECT,ASSET_SDG,ASSET_OPENACCESS,ASSET_OPENACCESSSTATUS,ASSET_PRVNCE,ASSET_ALTTITLE,ASSET_TRANSLATTI,ASSET_OTHERTIT,ASSET_SERIES,ASSET_VOLNUM,ASSET_IDURI,ASSET_HANDLE,ASSET_IDOTHER,ASSET_IDPQDT,ASSET_ARXIV,ASSET_DATESUB,ASSET_DATEUPD,ASSET_DATEVALID,ASSET_DATEEPUB,ASSET_DATEPOSTED,ASSET_DATEOTHER,ASSET_DATEAPP,ASSET_DATECOMPL,ASSET_DATEDEGREE,ASSET_DATEDEF,ASSET_DATEPRESNT,ASSET_CONFNAME,ASSET_CONFNUM,ASSET_CONFLOC,ASSET_CONFDAT,ASSET_EVNTNAM,ASSET_EVNTLOC,ASSET_EVNTDAT,ASSET_EVNTTYP,ASSET_EVNTNUM,ASSET_DGRGRANT,ASSET_DGRLEVEL,ASSET_DGRNAME,ASSET_PRIMARYSUBJ,ASSET_SECONDARYSUBJ,ASSET_PAGESUNPAGINATED,ASSET_APPLICATIONDATE,ASSET_RENEWEDDATE,ASSET_PATENT_STATUS,ASSET_PATENT_NUMBER,ASSET_PATENT_ABBREVNUM,ASSET_PATENT_KINDCODE,ASSET_PATENT_APPLICATIONNUM,ASSET_PATENT_APPLICATIONCODE,ASSET_PATENT_AGENCY,ASSET_WOS,ASSET_SCOPUS,ASSET_ARK,ASSET_SICI,ASSET_RNO,ASSET_ISMN,ASSET_PORTAL_VISIBILITY,ASSET_IDENTIFIER_ADDITIONAL01,ASSET_PROFILE_VISIBILITY,ASSET_IDENTIFIER_ADDITIONAL02,ASSET_COMMENT,ASSET_IDENTIFIER_ADDITIONAL03,ASSET_METHODS,ASSET_IDENTIFIER_ADDITIONAL04,ASSET_SERIESINFO,ASSET_IDENTIFIER_ADDITIONAL05,ASSET_EDUCTNLEVEL,ASSET_IDENTIFIER_ADDITIONAL06,ASSET_INSTRUCTMETHOD,ASSET_IDENTIFIER_ADDITIONAL07,ASSET_TECHINFO,ASSET_IDENTIFIER_ADDITIONAL08,ASSET_SPATIALDESC,ASSET_IDENTIFIER_ADDITIONAL09,ASSET_TEMPORALDESC,ASSET_OTHERDESC,ASSET_BIBLIOGRAPH,ASSET_COVERAGE,ASSET_ILLUSTRATION,ASSET_DATECOLLECT,ASSET_DATEISSUE,ASSET_DATERENEW,ASSET_ANZTOA,ASSET_COURSENAME,ASSET_COURSENUMB,ASSET_LEARNTIME,ASSET_MOBILCOMPAT,ASSET_SRCCODEAVAIL,ASSET_SERIESNUMBER,ASSET_PUBSEASON,ASSET_DGRSEASON,ASSET_DGRPRG,ASSET_LOCLFLD1,ASSET_LOCLFLD2,ASSET_LOCLFLD3,ASSET_LOCLFLD4,ASSET_LOCLFLD5,ASSET_LOCLFLD6,ASSET_LOCLFLD7,ASSET_LOCLFLD8,ASSET_LOCLFLD9,ASSET_LOCLFLD10,ASSET_LOCLFLD11,ASSET_LOCLFLD12,ASSET_LOCLFLD13,ASSET_LOCLFLD14,ASSET_LOCLFLD15,ASSET_PROJTYPE,ASSET_AUDIENCE,PRTOF_EPAGE,PRTOF_SPAGE,PRTOF_ISSUE,PRTOF_ARTICLENUMBER,PRTOF_VOL,PRTOF_ISSN,PRTOF_EISSN,PRTOF_ISBN,PRTOF_EISBN,PRTOF_TITLE,PRTOF_DOI,PRTOF_PAGES,PRTOF_NLMABRV,CREATOR_FAMNAME,CREATOR_GIVNAME,CREATOR_MIDNAME,CREATOR_NAMESUF,CREATOR_AFFILIATION,CREATOR_EMAIL,CREATOR_RESEARCHERID,CREATOR_ORCID,CREATOR_PRIMARYID,CREATOR_BRCODE,CREATOR_ADDITIONAL,OCREATOR_ORGANIZATION,CONT_TYPE,CONT_CONTNAME,CONT_FAMNAME,CONT_GIVNAME,CONT_MIDNAME,CONT_NAMESUF,CONT_AFFILIATION,CONT_EMAIL,CONT_RESEARCHERID,CONT_ORCID,CONT_PRIMARYID,CONT_BRCODE,CONT_ADDITIONAL,OCONT_ORGANIZATION,LINK_LINKURL,LINK_LINKTITLE,LINK_LINKDESC,LINK_CONTENTTYPE,LINK_LINKLCNSE,LINK_LINKRIGHTS,LINK_LINKOWN,LINK_ORDER,LINK_DISPLAY_IN_VIEWER,FILE_FILEURL,FILE_DESCRIPTION,FILE_DISPLAY_NAME,FILE_CONTENTTYPE,FILE_ORDER,FILE_RIGHTS,FILE_RIGHTS_REASON,FILE_RIGHTS_DATE,FILE_LICENSE,FILE_SUPPLEMENTAL
"ASSET","991269354600561","Implementation von Studiengangsreformen: Herausforderungen und Strategien am Beispiel des Studiengangs Master Berufliche Bildung Integriert","","10.1515/9783110689884-007","","9783110689778","9783110689884","","","De Gruyter Oldenbourg","Berlin","20200907","","","","","","","publication.bookChapter","","","YES","ger","","","","","","","","","","","29","","","","","","","NO","","","","","","","","https://www.degruyter.com/document/doi/10.1515/9783110689884-007/html","","(UNIBZ)86439909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n.a.","","","","","false","","false","86439909","","","","","","(UNIBZ)86439909","","","","","","","","","","Editors/Supervisors: Welpe IM, Stumpf-Wollersheim J, Folger N, Prenzel M","","","","","","","","","","","","","","","","","","","4","Ja","","Welpe IM, Stumpf-Wollersheim J, Folger N, Prenzel M","","Schindler C, Kronsfoth K, Zaragoza A, Seidel T, Shomzy A","Free University of Bozen-Bolzano (unibz)","InBook;Chapter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991269354600561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","134","","","","","","9783110689778","9783110689884","Leistungsbewertung in wissenschaftlichen Institutionen und Universitäten: Eine mehrdimensionale Perspektive ","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LINK","991269354600561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.degruyter.com/document/doi/10.1515/9783110689884-007/html","","","","","","","999","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASSET","991269354700561","Implementation von Studiengangsreformen: Herausforderungen und Strategien am Beispiel des Studiengangs ""Master Berufliche Bildung Integriert""","","10.1515/9783110689884-007","","9783110689778","9783110689884","","","De Gruyter Oldenbourg","Berlin","20200907","","","","","","","publication.bookChapter","","","YES","ger","","","","","","","","","","","29","","","","","","","NO","","","","","","","","https://www.degruyter.com/document/doi/10.1515/9783110689884-007/html","","(UNIBZ)86439909","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","n.a.","","","","","false","","false","86439909","","","","","","(UNIBZ)86439909","","","","","","","","","","Editors/Supervisors: Welpe IM, Stumpf-Wollersheim J, Folger N, Prenzel M","","","","","","","","","","","","","","","","","<?xml version=""1.0"" encoding=""UTF-8""?><SOAP-ENV:Envelope xmlns:SOAP-ENV=""http://schemas.xmlsoap.org/soap/envelope/"" xmlns:ns1=""http://alessandria.cineca.it/fulltext""><SOAP-ENV:Body><ns1:FulltextSalvaResponse><ns1:ESITO_INVIO>1</ns1:ESITO_INVIO><ns1:MSG_ERRORE>File trasferito con successo</ns1:MSG_ERRORE></ns1:FulltextSalvaResponse></SOAP-ENV:Body></SOAP-ENV:Envelope>","","4","Ja","","Welpe IM, Stumpf-Wollersheim J, Folger N, Prenzel M","","Schindler C, Kronsfoth K, Zaragoza A, Seidel T","Free University of Bozen-Bolzano (unibz)","InBook;Chapter","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991269354700561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","162","134","","","","","","9783110689778","9783110689884","Leistungsbewertung in wissenschaftlichen Institutionen und Universitäten: Eine mehrdimensionale Perspektive ","","29","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LINK","991269354700561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","https://www.degruyter.com/document/doi/10.1515/9783110689884-007/html","","","","","","","999","false","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASSET","991272754700561","Test entry","Test","","","","","","","Esploro","","2022","","","","2024–2025","","","publication.bookChapter","","","NO","","","","","","","TR_INTEGRATION_INST___Faculty_of_Humanities@@TR_INTEGRATION_INST___TR_INTEGRATION_INST","","","","","","","","","","","","NO","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991272754700561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","27","17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASSET","991274954300561","Indiran Test","","","","","","","","","","","","","","","","","etd.doctoral","","","","","","","A","","","TR_INTEGRATION_INST___v1","","","","","188","","","","","","","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Esploro University","2","EDD","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Aging and Health Education","","","","","","","","","","","","","","","","dissertation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991274954300561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASSET","991275054400561","Pegaga test","","","","","","","","","","","","","","","","","etd.doctoral","","","","","","","CCBY_V4.0","","","TR_INTEGRATION_INST___Department_of_Biology","","","","","","","","","","","","UNKNOWN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Esploro University","2","PhD","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Biological Science (Ecology, Evolution, and Conservation)","","","","","","","","","","","","","","","","dissertation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991275054400561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASSET","991275154400561","Gender-Based Stressors after the Reversal of Roe v. Wade (1973): How Transgender and Gender Diverse Individuals Appraise the Dobbs (2022) Ruling","","","","","","","","","","20250403","","","","","","","etd.doctoral","","Dobbs v. Jackson Women's Health Organization (2022)@@Gender Based Stressors@@Gender Diversity@@LGBTQIA2S+@@Roe v. Wade (1973)@@Transgender","","eng","The Supreme Court ruling of Dobbs v. Jackson Women’s Health Organization (2022) and the reversal of Roe v. Wade (1973) has sparked much discussion, debate, and outcry across the United States (U.S.). While society readily considers the impact of these decisions on cisgender women, less concern is shared for others who may become pregnant, namely individuals who identify as transgender or gender diverse (TGD). Given the potential for these court rulings to elicit types of gender-based stressors (e.g., misgendering, gender dysphoria, binary normativity, invalidation, body vigilance, intrusive questioning; Matsuno et al., 2023; Puckett et al., 2023; Testa et al., 2015), empirical investigation regarding these topics was needed. Quantitative methods examined how experiences of gender-based stressors in the context of Dobbs (2022), Roe’s (1973) reversal, and language used in discussing abortion impacted TGD individuals’ appraisals of these court rulings. Results from logarithmic and linear regressions demonstrated that participants viewed this ruling as negative, with experiences of gender-based stressors being significant predictors of negative appraisal dimensions. However, gender-based stressors were not significantly related to a positive appraisal dimension. Qualitative methods explored protective factors and coping skills that attenuated the experiences of these stressors, as they related to the Dobbs (2022) decision specifically. In the current sample, participants most often discussed seeking support from personal relationships and using emotion-focused coping skills. Additional research on this topic should be conducted, and greater attention should be given to how the restriction of abortion care impacts TGD people and other diverse groups.","","","","","TR_INTEGRATION_INST___TR_INTEGRATION_INST","","31843638","","","157","","","","","","","","","","","","","","","","","","","","","","","","","","","2024","202506","","","","","","","","","","","","Drexel University","2","DMA","","","","","","","","","","","","","","","","","","","true","","true","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRTOF","991275154400561","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
